label,n_raters,n_events,prevalence,fleiss,kappa_median,lo,hi,n_pairs
focalslowing-delta,21,1761,0.16075731497418244,0.343103132064131,0.3720722472128546,0.34264391627868784,0.4013490698419788,194
focalslowing-theta,21,1761,0.051061388410786,0.12361560638415432,0.11506092382168975,0.07061986854566236,0.131273627194205,176
focalslowing-alpha,21,1761,0.0050105182635303116,0.052668576433041195,-0.001520993243960378,-0.003323800336452207,-0.0013108191573910964,101
focalslowing-beta,15,962,0.01303327830393605,-0.0036176688491712456,-0.0023014959723821615,-0.005928170141881845,0.039701431185599656,47
genslowing-delta,21,1761,0.388716771849302,0.27996753165000077,0.269768094167585,0.25743363475668185,0.29319989891349324,194
genslowing-theta,21,1761,0.37919296232549243,0.21601073598330822,0.198524241370364,0.17877031943888486,0.21672095838718713,194
genslowing-alpha,21,1761,0.19965576592082615,0.14636472589599178,0.11644900790319418,0.09543436732559492,0.13686240137893013,176
genslowing-beta,15,962,0.22973325223737945,0.09405931731074518,0.12132570994756953,0.09067062174146442,0.14110102135344316,99
ANY focalslowing,21,1761,0.1776247848537005,0.35204460317939534,0.38193723253282014,0.35111088348813274,0.41613345475776253,194
ANY genslowing,21,1761,0.6366418053165042,0.3564889471274568,0.2552349630106082,0.23478519080980528,0.2755308397358277,194
